Feedback ID,Customer ID,Customer Name,Customer Segment,Industry,Subscription Plan,Feedback Date,Feedback Source,Feedback Type,Feedback Text,Product Area,Feature Requested,Pain Point Category,Severity Level,Sentiment Score,Customer Satisfaction Score,NPS Score,Frequency of Similar Requests,Revenue Impact,Retention Risk,Business Value Score,Customer Impact Score,Strategic Alignment Score,Development Effort,Priority Score,Roadmap Decision,Roadmap Quarter,Feedback Status
FB090,CUST1003,Customer 16,Free,Professional Services,Free,2026-04-23,Customer Success,Performance Issue,Exporting large datasets one by one is slowing our reporting process. Please improve this before the next release.,Data Export,Bulk Export,Performance,Medium,0.6,3,56,33,Low,Low,1,3,1,Medium,6.02,Roadmap / Evaluate,Q2,Under Review
FB091,CUST1036,Customer 44,SMB,Education,Pro,2026-03-14,Product Review,Pricing Feedback,Our integrations hit API limits during peak processing windows. This would make the workflow more efficient for our team.,API,API Rate Limit Increase,Pricing,Low,0.45,3,37,25,Medium,Low,5,1,3,Low,9.74,Roadmap / Prioritize,Q3,New
FB092,CUST1006,Customer 20,Startup,Retail,Starter,2026-04-07,Product Usage,Integration Request,International users need localized navigation and help content. We would consider broader adoption if this were improved.,Localization,Multi-language Support,Integration Gap,Low,0.51,4,36,22,Low,Medium,3,3,4,Low,9.35,Roadmap / Prioritize,Q1,Closed
FB093,CUST1014,Customer 22,Startup,Education,Starter,2026-02-19,Support Ticket,Product Enhancement,We need a complete audit trail for compliance reviews. We would consider broader adoption if this were improved.,Security,Audit Logs,Workflow Improvement,Low,0.34,4,32,34,Low,Medium,5,3,1,Medium,9.3,Roadmap / Prioritize,Q4,Under Review
FB094,CUST1010,Customer 11,Free,FinTech,Free,2026-08-01,Community Forum,Feature Request,The mobile experience needs a cleaner workflow and faster loading.,UI/UX,Mobile App Improvements,Missing Capability,Medium,0.64,3,71,35,High,High,1,3,5,Low,10.0,Roadmap / Prioritize,Q4,Accepted
FB095,CUST1058,Customer 54,Startup,FinTech,Starter,2026-04-05,Product Usage,Feature Request,Our team wants product alerts delivered directly into Slack.,Integrations,Slack Integration,Missing Capability,Medium,-0.35,2,-17,16,Very High,Medium,4,2,5,Low,10.0,Roadmap / Prioritize,Q3,Accepted
FB096,CUST1042,Customer 31,Free,Healthcare,Free,2026-05-22,Survey,Positive Feedback,The recent improvements have made our team's workflow noticeably better.,Integrations,Slack Integration,Strength,Medium,0.68,4,41,33,Medium,High,2,5,2,High,10.0,Roadmap / Prioritize,Q3,New
FB097,CUST1053,Customer 29,Startup,Healthcare,Starter,2026-01-07,Sales Feedback,Performance Issue,A dark mode would make long working sessions easier on the eyes. Please improve this before the next release.,UI/UX,Dark Mode,Performance,High,-0.32,3,-18,11,Low,High,2,4,1,High,5.59,Roadmap / Evaluate,Q2,Under Review
FB098,CUST1059,Customer 54,Enterprise,Education,Enterprise,2026-06-28,NPS Survey,Performance Issue,Exporting large datasets one by one is slowing our reporting process. Please improve this before the next release.,Data Export,Bulk Export,Performance,Low,0.26,4,22,24,Low,Low,1,3,2,Low,6.39,Roadmap / Evaluate,Q2,Analyzed
FB099,CUST1016,Customer 20,Startup,SaaS,Starter,2026-01-13,Support Ticket,Usability Issue,We need more granular permissions for different teams. The current experience is causing avoidable friction.,Security,Role-Based Permissions,Usability,Low,0.68,4,37,2,Low,High,5,5,5,Medium,10.0,Roadmap / Prioritize,Q3,Analyzed
FB100,CUST1028,Customer 01,SMB,Retail,Pro,2026-04-01,Support Ticket,Product Enhancement,Our team wants product alerts delivered directly into Slack.,Integrations,Slack Integration,Workflow Improvement,High,-0.31,3,-14,32,Medium,Low,5,5,2,Medium,10.0,Roadmap / Prioritize,Q3,Analyzed
FB101,CUST1003,Customer 41,SMB,Education,Pro,2026-04-06,Product Review,Feature Request,We need a complete audit trail for compliance reviews.,Security,Audit Logs,Missing Capability,Medium,0.19,3,29,24,Low,Medium,5,5,5,Low,10.0,Roadmap / Prioritize,Q4,Accepted
FB102,CUST1053,Customer 42,Startup,FinTech,Starter,2026-08-01,Product Usage,Bug,A dark mode would make long working sessions easier on the eyes. Please improve this before the next release.,UI/UX,Dark Mode,Reliability,High,-0.32,3,-25,7,High,Medium,3,2,1,Medium,6.73,Roadmap / Prioritize,Q2,Analyzed
FB103,CUST1057,Customer 03,SMB,Healthcare,Pro,2026-03-21,Social Media,Integration Request,We need a complete audit trail for compliance reviews.,Security,Audit Logs,Integration Gap,Low,0.39,4,37,5,High,High,1,3,2,Low,8.21,Roadmap / Prioritize,Q4,Under Review
FB104,CUST1028,Customer 57,SMB,Education,Pro,2026-07-10,Customer Success,Product Enhancement,Our team wants product alerts delivered directly into Slack. This would make the workflow more efficient for our team.,Integrations,Slack Integration,Workflow Improvement,Critical,-0.22,3,-15,13,Low,High,1,3,3,Low,7.07,Roadmap / Prioritize,Q3,Analyzed
FB105,CUST1035,Customer 19,Startup,Healthcare,Starter,2026-01-27,Survey,Bug,Our IT team needs SSO and automated user provisioning. Please improve this before the next release.,Security,SSO & SCIM,Reliability,Medium,0.39,4,31,24,Very High,Medium,1,4,1,Medium,9.16,Roadmap / Prioritize,Q3,Under Review
FB106,CUST1041,Customer 51,Mid-Market,SaaS,Business,2026-01-20,Product Usage,Bug,We are seeing repeated issues here and it is affecting daily workflows.,Integrations,Slack Integration,Reliability,Medium,0.16,3,19,11,Medium,Low,1,3,5,High,6.5,Roadmap / Prioritize,Q3,Analyzed
FB107,CUST1024,Customer 24,Startup,Education,Starter,2026-05-26,Customer Interview,Bug,We are seeing repeated issues here and it is affecting daily workflows.,Billing,Billing Alerts,Reliability,Medium,-0.03,4,-14,2,Low,Medium,4,1,2,Low,5.75,Roadmap / Evaluate,Q4,Closed
FB108,CUST1002,Customer 48,SMB,FinTech,Pro,2026-05-08,Social Media,Integration Request,Our integrations hit API limits during peak processing windows. This would make the workflow more efficient for our team.,API,API Rate Limit Increase,Integration Gap,Medium,-0.14,3,0,5,Medium,Medium,4,3,3,Low,9.11,Roadmap / Prioritize,Q3,New
FB109,CUST1029,Customer 12,SMB,Professional Services,Pro,2026-04-24,Survey,Performance Issue,The mobile experience needs a cleaner workflow and faster loading. Please improve this before the next release.,UI/UX,Mobile App Improvements,Performance,Medium,0.37,4,26,14,Very High,Low,4,2,1,Low,9.12,Roadmap / Prioritize,Q4,New
FB110,CUST1013,Customer 51,Startup,FinTech,Starter,2026-03-02,Customer Success,Positive Feedback,The recent improvements have made our team's workflow noticeably better.,API,API Rate Limit Increase,Strength,Medium,0.76,4,65,35,Low,Low,2,2,3,Medium,7.26,Roadmap / Prioritize,Q3,New
FB111,CUST1053,Customer 37,Enterprise,SaaS,Enterprise,2026-02-02,App Store Review,Performance Issue,Our integrations hit API limits during peak processing windows. Please improve this before the next release.,API,API Rate Limit Increase,Performance,Low,0.41,3,25,9,Medium,Low,3,4,4,Medium,8.75,Roadmap / Prioritize,Q3,Accepted
FB112,CUST1011,Customer 11,Startup,Healthcare,Starter,2026-07-01,Support Ticket,Usability Issue,We are seeing repeated issues here and it is affecting daily workflows.,Security,Audit Logs,Usability,Medium,0.32,3,12,12,High,Low,5,1,1,Medium,7.46,Roadmap / Prioritize,Q4,Analyzed
FB113,CUST1033,Customer 42,Mid-Market,FinTech,Business,2026-06-01,Community Forum,Complaint,International users need localized navigation and help content. Please improve this before the next release.,Localization,Multi-language Support,Customer Dissatisfaction,Low,0.52,4,30,17,Low,High,3,2,3,Medium,7.64,Roadmap / Prioritize,Q1,New
FB114,CUST1027,Customer 40,Enterprise,Professional Services,Enterprise,2026-01-08,Customer Success,Integration Request,New users are struggling to understand the first setup steps. We would consider broader adoption if this were improved.,UI/UX,Onboarding Improvements,Integration Gap,High,-0.28,3,-37,3,High,Low,1,5,3,Medium,7.41,Roadmap / Prioritize,Q2,Planned
FB115,CUST1014,Customer 22,Startup,Retail,Starter,2026-02-06,App Store Review,Performance Issue,We need a complete audit trail for compliance reviews. Please improve this before the next release.,Security,Audit Logs,Performance,Medium,-0.19,2,-16,26,Low,Low,1,2,4,Medium,5.87,Roadmap / Evaluate,Q4,Accepted
FB116,CUST1029,Customer 16,Startup,FinTech,Starter,2026-01-25,Customer Interview,Bug,The AI summaries save our team time when reviewing customer feedback. Please improve this before the next release.,AI,AI Summary Assistant,Reliability,Low,0.54,5,48,9,High,Medium,1,3,2,Medium,7.15,Roadmap / Prioritize,Q1,Analyzed
FB117,CUST1030,Customer 32,Mid-Market,Healthcare,Business,2026-05-08,Customer Interview,Bug,We need more granular permissions for different teams. Please improve this before the next release.,Security,Role-Based Permissions,Reliability,High,-0.19,3,-26,11,High,High,3,2,2,Medium,8.29,Roadmap / Prioritize,Q3,Planned
FB118,CUST1028,Customer 09,Enterprise,Healthcare,Enterprise,2026-07-06,App Store Review,Bug,Our team wants product alerts delivered directly into Slack. The current experience is causing avoidable friction.,Integrations,Slack Integration,Reliability,High,-0.16,3,-7,23,Low,Low,5,4,3,Medium,9.14,Roadmap / Prioritize,Q3,New
FB119,CUST1053,Customer 40,Startup,Professional Services,Starter,2026-06-06,Survey,Bug,We need configurable reports for different stakeholder groups. The current experience is causing avoidable friction.,Analytics,Custom Reports,Reliability,Medium,-0.03,3,16,13,Low,Low,4,5,4,Medium,8.87,Roadmap / Prioritize,Q4,Analyzed
FB120,CUST1009,Customer 46,Enterprise,Healthcare,Enterprise,2026-07-25,Customer Success,Feature Request,Our integrations hit API limits during peak processing windows. This would make the workflow more efficient for our team.,API,API Rate Limit Increase,Missing Capability,Medium,0.17,3,20,24,High,Low,5,4,5,Low,10.0,Roadmap / Prioritize,Q3,New
